station,valid,lon,lat,elevation,tmpf,dwpf,relh,sknt
TUL,2026-09-01 00:53,-95.8881,36.1984,206.00,96.00,59.00,29.45,9.00
TUL,2026-09-01 01:53,-95.8881,36.1984,206.00,90.00,61.00,38.06,4.00
TUL,2026-09-01 02:53,-95.8881,36.1984,206.00,85.00,63.00,47.84,4.00
TUL,2026-09-01 03:53,-95.8881,36.1984,206.00,86.00,64.00,47.99,5.00
TUL,2026-09-01 04:53,-95.8881,36.1984,206.00,82.00,65.00,56.51,6.00
TUL,2026-09-01 05:53,-95.8881,36.1984,206.00,84.00,62.00,47.69,5.00
TUL,2026-09-01 06:53,-95.8881,36.1984,206.00,86.00,62.00,44.74,5.00
TUL,2026-09-01 07:53,-95.8881,36.1984,206.00,86.00,62.00,44.74,9.00
TUL,2026-09-01 08:53,-95.8881,36.1984,206.00,86.00,62.00,44.74,9.00
TUL,2026-09-01 09:53,-95.8881,36.1984,206.00,84.00,63.00,49.40,10.00
TUL,2026-09-01 10:53,-95.8881,36.1984,206.00,83.00,64.00,52.84,9.00
TUL,2026-09-01 11:53,-95.8881,36.1984,206.00,82.00,65.00,56.51,8.00
TUL,2026-09-01 12:53,-95.8881,36.1984,206.00,83.00,66.00,56.65,7.00
TUL,2026-09-01 13:53,-95.8881,36.1984,206.00,87.00,67.00,51.60,9.00
TUL,2026-09-01 14:53,-95.8881,36.1984,206.00,88.00,68.00,51.75,8.00
TUL,2026-09-01 15:53,-95.8881,36.1984,206.00,91.00,68.00,47.10,6.00
TUL,2026-09-01 16:53,-95.8881,36.1984,206.00,94.00,68.00,42.92,6.00
TUL,2026-09-01 17:53,-95.8881,36.1984,206.00,97.00,67.00,37.83,6.00
TUL,2026-09-01 18:53,-95.8881,36.1984,206.00,99.00,65.00,33.22,M
TUL,2026-09-01 19:53,-95.8881,36.1984,206.00,101.00,65.00,31.29,6.00
TUL,2026-09-01 20:53,-95.8881,36.1984,206.00,100.00,62.00,29.02,11.00
TUL,2026-09-01 21:53,-95.8881,36.1984,206.00,101.00,60.00,26.24,12.00
TUL,2026-09-01 22:53,-95.8881,36.1984,206.00,100.00,60.00,27.04,9.00
TUL,2026-09-01 23:53,-95.8881,36.1984,206.00,99.00,61.00,28.87,10.00
