"mode","hours","daysAny","daysAtLeast4","daysAtLeast8","longestHours"
"ACTIVE_HUMIDIFICATION_LIKELY","80","32","6","0","7"
"HEAT_MAJOR_VENT_DRY","2086","117","111","108","544"
"HEAT_MIN_VENT","97","29","11","2","12"
"HEAT_VENT_HUMID","73","21","9","1","9"
"MISSING_DATA","23","11","3","0","4"
"NEUTRAL_MIN_VENT","477","143","51","8","10"
"PAD_EFFECTIVE","67","24","8","0","9"
"PAD_INEFFECTIVE_DEHU_NEEDED","2300","155","140","118","46"
"PAD_MARGINAL","2","2","0","0","1"
"PASSIVE_HUMIDIFY_OPPORTUNITY","172","49","20","2","7"
"PASSIVE_VENT_COOL_DRY","302","76","39","5","9"
"PASSIVE_VENT_COOL_HUMID","408","101","39","16","12"
