"mode","startUTC","endUTC","hours"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-01-14T01:00:00.000Z","2026-01-14T02:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-09T22:00:00.000Z","2026-02-09T23:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-10T01:00:00.000Z","2026-02-10T02:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-19T01:00:00.000Z","2026-02-19T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-25T01:00:00.000Z","2026-02-25T02:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-27T01:00:00.000Z","2026-02-27T02:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-27T20:00:00.000Z","2026-02-28T00:00:00.000Z","4"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-02-28T03:00:00.000Z","2026-02-28T05:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-01T03:00:00.000Z","2026-03-01T04:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-09T01:00:00.000Z","2026-03-09T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-14T00:00:00.000Z","2026-03-14T03:00:00.000Z","3"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-19T01:00:00.000Z","2026-03-19T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-19T04:00:00.000Z","2026-03-19T05:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-19T19:00:00.000Z","2026-03-19T21:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-22T16:00:00.000Z","2026-03-22T18:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-22T22:00:00.000Z","2026-03-22T23:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-23T01:00:00.000Z","2026-03-23T02:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-25T00:00:00.000Z","2026-03-25T02:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-03-29T20:00:00.000Z","2026-03-30T00:00:00.000Z","4"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-06T00:00:00.000Z","2026-04-06T01:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-07T00:00:00.000Z","2026-04-07T02:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-08T01:00:00.000Z","2026-04-08T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-09T02:00:00.000Z","2026-04-09T06:00:00.000Z","4"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-20T01:00:00.000Z","2026-04-20T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-04-21T01:00:00.000Z","2026-04-21T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-01T00:00:00.000Z","2026-05-01T02:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-02T00:00:00.000Z","2026-05-02T01:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-03T00:00:00.000Z","2026-05-03T03:00:00.000Z","3"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-03T19:00:00.000Z","2026-05-03T22:00:00.000Z","3"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-07T00:00:00.000Z","2026-05-07T01:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-08T01:00:00.000Z","2026-05-08T03:00:00.000Z","2"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-09T18:00:00.000Z","2026-05-10T00:00:00.000Z","6"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-11T21:00:00.000Z","2026-05-11T22:00:00.000Z","1"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-12T19:00:00.000Z","2026-05-13T00:00:00.000Z","5"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-05-13T17:00:00.000Z","2026-05-14T00:00:00.000Z","7"
"ACTIVE_HUMIDIFICATION_LIKELY","2026-06-15T18:00:00.000Z","2026-06-15T20:00:00.000Z","2"
"HEAT_MAJOR_VENT_DRY","2026-01-01T06:00:00.000Z","2026-01-05T20:00:00.000Z","110"
"HEAT_MAJOR_VENT_DRY","2026-01-05T22:00:00.000Z","2026-01-06T19:00:00.000Z","21"
"HEAT_MAJOR_VENT_DRY","2026-01-06T23:00:00.000Z","2026-01-07T20:00:00.000Z","21"
"HEAT_MAJOR_VENT_DRY","2026-01-07T23:00:00.000Z","2026-01-08T08:00:00.000Z","9"
"HEAT_MAJOR_VENT_DRY","2026-01-08T09:00:00.000Z","2026-01-08T10:00:00.000Z","1"
"HEAT_MAJOR_VENT_DRY","2026-01-08T17:00:00.000Z","2026-01-08T19:00:00.000Z","2"
"HEAT_MAJOR_VENT_DRY","2026-01-09T02:00:00.000Z","2026-01-12T07:00:00.000Z","77"
"HEAT_MAJOR_VENT_DRY","2026-01-12T09:00:00.000Z","2026-01-13T03:00:00.000Z","18"
"HEAT_MAJOR_VENT_DRY","2026-01-13T05:00:00.000Z","2026-01-13T19:00:00.000Z","14"
"HEAT_MAJOR_VENT_DRY","2026-01-14T00:00:00.000Z","2026-01-14T01:00:00.000Z","1"
