station,valid,lon,lat,elevation,tmpf,dwpf,relh,sknt,alti
TUL,2026-01-01 05:53,-95.8881,36.1984,206.00,47.00,28.00,47.34,6.00,30.03
TUL,2026-01-01 06:53,-95.8881,36.1984,206.00,51.00,28.00,40.76,3.00,30.01
TUL,2026-01-01 07:53,-95.8881,36.1984,206.00,50.00,29.00,44.08,4.00,30.00
TUL,2026-01-01 08:53,-95.8881,36.1984,206.00,45.00,29.00,53.20,4.00,29.99
TUL,2026-01-01 09:53,-95.8881,36.1984,206.00,46.00,28.00,49.16,3.00,30.00
TUL,2026-01-01 10:53,-95.8881,36.1984,206.00,41.00,28.00,59.53,0.00,29.98
TUL,2026-01-01 11:53,-95.8881,36.1984,206.00,41.00,28.00,59.53,0.00,29.99
TUL,2026-01-01 12:53,-95.8881,36.1984,206.00,36.00,27.00,69.49,0.00,29.99
TUL,2026-01-01 13:53,-95.8881,36.1984,206.00,36.00,27.00,69.49,0.00,29.99
TUL,2026-01-01 14:53,-95.8881,36.1984,206.00,42.00,32.00,67.41,0.00,30.00
TUL,2026-01-01 15:53,-95.8881,36.1984,206.00,46.00,31.00,55.56,5.00,30.01
TUL,2026-01-01 16:53,-95.8881,36.1984,206.00,50.00,32.00,49.79,0.00,30.00
TUL,2026-01-01 17:53,-95.8881,36.1984,206.00,54.00,31.00,41.26,0.00,29.96
TUL,2026-01-01 18:53,-95.8881,36.1984,206.00,57.00,31.00,37.00,0.00,29.92
TUL,2026-01-01 19:53,-95.8881,36.1984,206.00,61.00,32.00,33.40,5.00,29.88
TUL,2026-01-01 20:53,-95.8881,36.1984,206.00,61.00,32.00,33.40,6.00,29.87
TUL,2026-01-01 21:53,-95.8881,36.1984,206.00,61.00,33.00,34.77,5.00,29.86
TUL,2026-01-01 22:53,-95.8881,36.1984,206.00,59.00,33.00,37.33,3.00,29.84
TUL,2026-01-01 23:53,-95.8881,36.1984,206.00,52.00,35.00,52.14,5.00,29.83
TUL,2026-01-02 00:53,-95.8881,36.1984,206.00,53.00,36.00,52.30,3.00,29.83
TUL,2026-01-02 01:53,-95.8881,36.1984,206.00,53.00,36.00,52.30,4.00,29.84
TUL,2026-01-02 02:53,-95.8881,36.1984,206.00,54.00,37.00,52.45,6.00,29.83
TUL,2026-01-02 03:53,-95.8881,36.1984,206.00,55.00,37.00,50.57,6.00,29.82
TUL,2026-01-02 04:53,-95.8881,36.1984,206.00,54.00,37.00,52.45,3.00,29.81
TUL,2026-01-02 05:53,-95.8881,36.1984,206.00,52.00,38.00,58.71,0.00,29.80
TUL,2026-01-02 06:53,-95.8881,36.1984,206.00,50.00,38.00,63.22,5.00,29.77
TUL,2026-01-02 07:53,-95.8881,36.1984,206.00,52.00,38.00,58.71,3.00,29.75
TUL,2026-01-02 08:53,-95.8881,36.1984,206.00,53.00,38.00,56.59,4.00,29.74
TUL,2026-01-02 09:53,-95.8881,36.1984,206.00,52.00,39.00,61.05,5.00,29.73
TUL,2026-01-02 10:53,-95.8881,36.1984,206.00,53.00,39.00,58.85,6.00,29.72
TUL,2026-01-02 11:53,-95.8881,36.1984,206.00,51.00,43.00,73.96,7.00,29.73
TUL,2026-01-02 12:53,-95.8881,36.1984,206.00,49.00,45.00,86.00,5.00,29.74
TUL,2026-01-02 13:53,-95.8881,36.1984,206.00,49.00,43.00,79.68,8.00,29.76
TUL,2026-01-02 14:53,-95.8881,36.1984,206.00,50.00,43.00,76.76,0.00,29.76
TUL,2026-01-02 15:53,-95.8881,36.1984,206.00,50.00,43.00,76.76,7.00,29.79
TUL,2026-01-02 16:53,-95.8881,36.1984,206.00,52.00,41.00,65.99,8.00,29.80
TUL,2026-01-02 17:53,-95.8881,36.1984,206.00,53.00,40.00,61.19,9.00,29.78
TUL,2026-01-02 18:53,-95.8881,36.1984,206.00,56.00,40.00,54.85,9.00,29.76
TUL,2026-01-02 19:53,-95.8881,36.1984,206.00,57.00,39.00,50.88,8.00,29.74
TUL,2026-01-02 20:53,-95.8881,36.1984,206.00,58.00,39.00,49.08,6.00,29.74
TUL,2026-01-02 21:53,-95.8881,36.1984,206.00,58.00,39.00,49.08,8.00,29.75
TUL,2026-01-02 22:53,-95.8881,36.1984,206.00,55.00,38.00,52.60,8.00,29.76
TUL,2026-01-02 23:53,-95.8881,36.1984,206.00,51.00,38.00,60.92,13.00,29.79
TUL,2026-01-03 00:53,-95.8881,36.1984,206.00,47.00,36.00,65.37,14.00,29.82
TUL,2026-01-03 01:53,-95.8881,36.1984,206.00,43.00,35.00,73.15,9.00,29.86
TUL,2026-01-03 02:53,-95.8881,36.1984,206.00,40.00,34.00,78.93,8.00,29.87
TUL,2026-01-03 03:53,-95.8881,36.1984,206.00,40.00,34.00,78.93,7.00,29.88
TUL,2026-01-03 04:53,-95.8881,36.1984,206.00,40.00,34.00,78.93,7.00,29.88
TUL,2026-01-03 05:53,-95.8881,36.1984,206.00,39.00,34.00,82.07,10.00,29.90
TUL,2026-01-03 06:53,-95.8881,36.1984,206.00,38.00,33.00,81.99,13.00,29.91
TUL,2026-01-03 07:53,-95.8881,36.1984,206.00,38.00,32.00,78.76,12.00,29.93
TUL,2026-01-03 08:53,-95.8881,36.1984,206.00,37.00,32.00,81.92,11.00,29.96
TUL,2026-01-03 09:53,-95.8881,36.1984,206.00,36.00,32.00,85.22,8.00,29.97
TUL,2026-01-03 10:53,-95.8881,36.1984,206.00,36.00,31.00,81.84,10.00,29.98
TUL,2026-01-03 11:53,-95.8881,36.1984,206.00,36.00,30.00,78.58,11.00,30.01
TUL,2026-01-03 12:53,-95.8881,36.1984,206.00,35.00,29.00,78.50,13.00,30.03
TUL,2026-01-03 13:53,-95.8881,36.1984,206.00,34.00,28.00,78.41,11.00,30.07
TUL,2026-01-03 14:53,-95.8881,36.1984,206.00,34.00,28.00,78.41,9.00,30.09
TUL,2026-01-03 15:53,-95.8881,36.1984,206.00,37.00,28.00,69.60,10.00,30.12
TUL,2026-01-03 16:53,-95.8881,36.1984,206.00,40.00,28.00,61.89,11.00,30.13
TUL,2026-01-03 17:53,-95.8881,36.1984,206.00,43.00,29.00,57.42,12.00,30.13
TUL,2026-01-03 18:53,-95.8881,36.1984,206.00,45.00,29.00,53.20,10.00,30.11
TUL,2026-01-03 19:53,-95.8881,36.1984,206.00,46.00,29.00,51.22,10.00,30.09
TUL,2026-01-03 20:53,-95.8881,36.1984,206.00,48.00,29.00,47.50,6.00,30.07
TUL,2026-01-03 21:53,-95.8881,36.1984,206.00,47.00,29.00,49.32,6.00,30.08
TUL,2026-01-03 22:53,-95.8881,36.1984,206.00,45.00,29.00,53.20,5.00,30.08
TUL,2026-01-03 23:53,-95.8881,36.1984,206.00,44.00,28.00,53.04,4.00,30.09
TUL,2026-01-04 00:53,-95.8881,36.1984,206.00,40.00,28.00,61.89,3.00,30.11
TUL,2026-01-04 01:53,-95.8881,36.1984,206.00,37.00,28.00,69.60,3.00,30.14
TUL,2026-01-04 02:53,-95.8881,36.1984,206.00,36.00,28.00,72.41,3.00,30.14
TUL,2026-01-04 03:53,-95.8881,36.1984,206.00,36.00,28.00,72.41,0.00,30.15
TUL,2026-01-04 04:53,-95.8881,36.1984,206.00,34.00,27.00,75.25,0.00,30.15
TUL,2026-01-04 05:53,-95.8881,36.1984,206.00,33.00,27.00,78.32,3.00,30.13
TUL,2026-01-04 06:53,-95.8881,36.1984,206.00,34.00,28.00,78.41,3.00,30.12
TUL,2026-01-04 07:53,-95.8881,36.1984,206.00,29.00,25.00,84.78,4.00,30.13
TUL,2026-01-04 08:53,-95.8881,36.1984,206.00,33.00,29.00,85.03,3.00,30.14
TUL,2026-01-04 09:53,-95.8881,36.1984,206.00,31.00,28.00,88.48,0.00,30.14
TUL,2026-01-04 10:53,-95.8881,36.1984,206.00,30.00,27.00,88.43,0.00,30.14
TUL,2026-01-04 11:53,-95.8881,36.1984,206.00,30.00,26.00,84.84,0.00,30.14
TUL,2026-01-04 12:53,-95.8881,36.1984,206.00,31.00,29.00,92.18,3.00,30.13
TUL,2026-01-04 13:53,-95.8881,36.1984,206.00,30.00,28.00,92.14,5.00,30.15
TUL,2026-01-04 14:53,-95.8881,36.1984,206.00,36.00,32.00,85.22,6.00,30.15
TUL,2026-01-04 15:53,-95.8881,36.1984,206.00,39.00,34.00,82.07,9.00,30.13
TUL,2026-01-04 16:53,-95.8881,36.1984,206.00,42.00,35.00,76.02,11.00,30.13
TUL,2026-01-04 17:53,-95.8881,36.1984,206.00,47.00,37.00,68.01,8.00,30.08
TUL,2026-01-04 18:53,-95.8881,36.1984,206.00,49.00,38.00,65.62,12.00,30.02
TUL,2026-01-04 19:53,-95.8881,36.1984,206.00,51.00,39.00,63.35,12.00,30.00
