"case","period","daynight","mode","hours","percentExpected"
"base","all","all","HEAT_MAJOR_VENT_DRY","2086","34.26975521603417"
"base","2026-01","all","HEAT_MAJOR_VENT_DRY","710","95.43010752688173"
"base","all","night","HEAT_MAJOR_VENT_DRY","1068","35.108481262327416"
"base","2026-01","night","HEAT_MAJOR_VENT_DRY","362","97.31182795698925"
"base","all","day","HEAT_MAJOR_VENT_DRY","1018","33.431855500821015"
"base","2026-01","day","HEAT_MAJOR_VENT_DRY","348","93.54838709677419"
"base","all","all","PASSIVE_VENT_COOL_DRY","302","4.961393132906194"
"base","2026-01","all","PASSIVE_VENT_COOL_DRY","21","2.8225806451612905"
"base","all","day","PASSIVE_VENT_COOL_DRY","268","8.801313628899836"
"base","2026-01","day","PASSIVE_VENT_COOL_DRY","20","5.376344086021505"
"base","all","night","PASSIVE_VENT_COOL_DRY","34","1.1176857330703485"
"base","2026-01","night","PASSIVE_VENT_COOL_DRY","1","0.26881720430107525"
"base","all","all","HEAT_MIN_VENT","97","1.5935600459996715"
"base","2026-01","all","HEAT_MIN_VENT","3","0.4032258064516129"
"base","all","night","HEAT_MIN_VENT","56","1.8408941485864563"
"base","2026-01","night","HEAT_MIN_VENT","2","0.5376344086021505"
"base","all","all","PASSIVE_VENT_COOL_HUMID","408","6.702809265648103"
"base","2026-01","all","PASSIVE_VENT_COOL_HUMID","1","0.13440860215053763"
"base","all","night","PASSIVE_VENT_COOL_HUMID","10","0.32873109796186717"
"base","2026-01","night","PASSIVE_VENT_COOL_HUMID","1","0.26881720430107525"
"base","all","day","HEAT_MIN_VENT","41","1.3464696223316912"
"base","2026-01","day","HEAT_MIN_VENT","1","0.26881720430107525"
"base","all","all","HEAT_VENT_HUMID","73","1.1992771480203712"
"base","2026-01","all","HEAT_VENT_HUMID","3","0.4032258064516129"
"base","all","day","HEAT_VENT_HUMID","49","1.6091954022988506"
"base","2026-01","day","HEAT_VENT_HUMID","3","0.8064516129032258"
"base","all","all","NEUTRAL_MIN_VENT","477","7.83637259733859"
"base","2026-01","all","NEUTRAL_MIN_VENT","1","0.13440860215053763"
"base","all","night","NEUTRAL_MIN_VENT","133","4.372123602892834"
"base","2026-01","night","NEUTRAL_MIN_VENT","1","0.26881720430107525"
"base","all","all","MISSING_DATA","23","0.3778544438968293"
