"case","changedHours","padEffectiveHours","padMarginalHours","padFailedHours"
"base","0","67","2","2300"
"pad_0.7","21","64","17","2288"
"pad_0.8","0","67","2","2300"
"pad_0.85","7","61","1","2307"
"pad_0.9","10","59","0","2310"
"dewpoint_58F","329","30","0","2339"
"dewpoint_62F","142","93","14","2262"
"dewpoint_65F","556","114","92","2163"
"maximum_80F","543","109","75","2686"
"maximum_85F","0","67","2","2300"
"maximum_90F","649","23","0","1699"
"margin_3F","2","69","0","2300"
"margin_5F","0","67","2","2300"
"margin_8F","31","36","33","2300"
"cool_crop","1595","89","2","3015"
"warm_crop","1355","59","3","1963"
